top_unit,top_url,child_name,child_url,tel,fax
政策部,list00181.html,さが政策推進チーム,list00001.html,0952-25-7541,0952-25-7263
政策部,list00181.html,駐屯地調整室,list06483.html,0952-25-7503,0952-25-7496
政策部,list00181.html,秘書課,list00006.html,0952-25-7007,0952-25-7288
政策部,list00181.html,広報広聴課,list00004.html,0952-25-7219,0952-25-7263
政策部,list00181.html,危機管理防災課,list00009.html,0952-25-7362,0952-25-7262
政策部,list00181.html,報道課,list00161.html,0952-25-7008,0952-25-7289
政策部,list00181.html,統計分析課,list00136.html,0952-25-7036,0952-25-7298
政策部,list00181.html,首都圏事務所,list00137.html,03-5212-9073,03-5215-5231
政策部,list00181.html,消防学校,list00011.html,0952-23-7728,0952-25-7045
政策部,list00181.html,防災航空センター,list05001.html,0952-34-9001,0952-45-9070
総務部,list00182.html,法務私学課,list00130.html,0952-25-7217,0952-25-0629
総務部,list00182.html,人事課,list00132.html,0952-25-7011,0952-25-7291
総務部,list00182.html,財政課,list00133.html,0952-25-7013,0952-25-7292
総務部,list00182.html,税政課,list00134.html,0952-25-7021,0952-25-7294
総務部,list00182.html,資産活用課,list00131.html,0952-25-7017,0952-25-7248
総務部,list00182.html,行政デジタル推進課,list00007.html,0952-25-7035,0952-25-7299
総務部,list00182.html,市町支援課,list00135.html,0952-25-7023,0952-25-7261
総務部,list00182.html,自治修習所（レナセル）,list00138.html,0952-62-5074,0952-62-5962
総務部,list00182.html,公文書館,list00139.html,0952-25-7365,0952-25-7410
総務部,list00182.html,佐賀県税事務所,list00140.html,0952-30-3161,0952-33-4628
総務部,list00182.html,唐津県税事務所,list00141.html,0955-73-1551,0955-75-0346
総務部,list00182.html,武雄県税事務所,list00142.html,0954-23-3103,0954-23-9752
地域交流部,list00183.html,さが 創生推進課,list00010.html,0952-25-7506,0952-25-7423
地域交流部,list00183.html,国際政策グループ,list00064.html,0952-25-7328(国際課)、0952-25-7005(旅券担当),0952-25-7084
地域交流部,list00183.html,多文化共生さが推進課,list06305.html,,
地域交流部,list00183.html,空港課,list00116.html,0952-25-7104,0952-25-7318
地域交流部,list00183.html,交通政策課,list00117.html,0952-25-7341,0952-25-7142
地域交流部,list00183.html,港湾課,list00119.html,0952-25-7163,0952-25-7315
地域交流部,list00183.html,SAGAスポーツピラミッド推進チーム,list04155.html,0952-25-7345,0952-25-7335
地域交流部,list00183.html,アスリート育成支援チーム,list06474.html,0952-25-7528,0952-25-7546
地域交流部,list00183.html,文化課,list00022.html,0952-25-7236,0952-25-7179
地域交流部,list00183.html,スポーツムーブメントチーム,list00021.html,0952-25-7331,0952-25-7375
地域交流部,list00183.html,コンベンションチーム,list06475.html,0952-25-7482,0952-25-7493
地域交流部,list00183.html,SAGA2024総務連携チーム,list03879.html,0952-25-7322,0952-25-7495
地域交流部,list00183.html,SAGA2024企画広報チーム,list05612.html,0952257553,
地域交流部,list00183.html,SAGA2024競技運営チーム,list04157.html,0952-25-7405,0952-25-7467
地域交流部,list00183.html,SAGA2024施設調整チーム,list04364.html,0952-25-7174,0952-25-7467
地域交流部,list00183.html,観光課,list00066.html,0952-25-7386,0952-25-7304
地域交流部,list00183.html,国際交流プラザ,list00074.html,0952-25-7004,0952-25-7084
地域交流部,list00183.html,佐賀空港事務所,list00126.html,0952-46-0150,0952-46-0153
地域交流部,list00183.html,博物館・美術館,list00026.html,0952-24-3947,0952-25-7006
地域交流部,list00183.html,九州陶磁文化館,list00027.html,0955-43-3681,0955-43-3324
地域交流部,list00183.html,名護屋城博物館,list00028.html,0955-82-4905,0955-82-5664
地域交流部,list00183.html,佐賀城本丸歴史館,list00029.html,0952-41-7550,0952-28-0220
県民環境部,list00184.html,県民協働課,list00013.html,0952-25-7374,0952-25-7561
県民環境部,list00184.html,まなび課,list00023.html,0952-25-7313,0952-25-7406
県民環境部,list00184.html,人権・同和対策課,list00014.html,0952-25-7063,0952-25-7332
県民環境部,list00184.html,くらしの安全安心課,list00016.html,0952-25-7060,0952-25-7327
県民環境部,list00184.html,脱炭素社会推進課,list00017.html,0952-25-7079,0952-25-7783
県民環境部,list00184.html,原子力安全対策課,list00018.html,0952-25-7081,0952-25-7269
県民環境部,list00184.html,有明海再生・環境課,list00019.html,0952-25-7080,0952-25-7521
県民環境部,list00184.html,循環型社会推進課,list00020.html,0952-25-7078,0952-25-7109
県民環境部,list00184.html,図書館,list00025.html,0952-24-2900,0952-25-7049
県民環境部,list00184.html,環境センター,list00024.html,0952-30-1616,0952-32-5940
健康福祉部,list00185.html,社会福祉課,list00032.html,0952-25-7053,0952-25-7264
健康福祉部,list00185.html,長寿社会課,list00034.html,0952-25-7054,0952-25-7265
健康福祉部,list00185.html,障害福祉課,list00035.html,0952-25-7064,0952-25-7302
健康福祉部,list00185.html,医務課,list00036.html,0952-25-7073,0952-25-7267
健康福祉部,list00185.html,国民健康保険課,list00037.html,0952-25-7057,0952-25-7301
健康福祉部,list00185.html,健康福祉政策課,list00038.html,0952-25-7074,0952-25-7268
健康福祉部,list00185.html,薬務課,list00039.html,0952-25-7082,0952-25-7285
健康福祉部,list00185.html,生活衛生課,list00040.html,0952-25-7077,0952-25-7303
健康福祉部,list00185.html,男女参画・女性の活躍推進課,list00162.html,0952-25-7062,0952-25-7338
健康福祉部,list00185.html,こども未来課,list00015.html,0952-25-7381,0952-25-7339
健康福祉部,list00185.html,こども家庭課,list00033.html,0952-25-7056,0952-25-7300
健康福祉部,list00185.html,佐賀中部保健福祉事務所,list00041.html,0952-30-1321,0952-33-4627
健康福祉部,list00185.html,鳥栖保健福祉事務所,list00042.html,0942-83-2161,0942-84-1849
健康福祉部,list00185.html,唐津保健福祉事務所,list00043.html,0955-73-4185,0955-75-0438
健康福祉部,list00185.html,伊万里保健福祉事務所,list00044.html,0955-23-2101,0955-22-3829
健康福祉部,list00185.html,杵藤保健福祉事務所,list00045.html,0954-22-2103,0954-22-4573
健康福祉部,list00185.html,総合福祉センター,list00046.html,0952-26-1212,0952-23-4679
健康福祉部,list00185.html,衛生薬業センター,list00047.html,0952-30-5009,0952-30-5033
健康福祉部,list00185.html,療育支援センター（あそしあ）,list00048.html,0952-62-2131,0952-51-2011
健康福祉部,list00185.html,虹の松原学園,list00051.html,0955-56-6654,0955-56-6614
健康福祉部,list00185.html,精神保健福祉センター,list00054.html,0952-73-5060,0952-73-3388
健康福祉部,list00185.html,食肉衛生検査所,list00055.html,0952-76-2611,0952-71-2008
産業労働部,list00186.html,産業DX・スタートアップ推進グループ,list05932.html,0952-25-7586,
産業労働部,list00186.html,産業政策課,list00056.html,0952-25-7182,0952-25-7270
産業労働部,list00186.html,ものづくり産業課,list00057.html,0952-25-7129,0952-25-7282
産業労働部,list00186.html,産業グリーン化推進グループ,list00160.html,0952-25-7380,0952-25-7369
産業労働部,list00186.html,企業立地課,list00058.html,0952-25-7097,0952-25-7384
産業労働部,list00186.html,産業人材課,list00059.html,0952-25-7310,0952-25-7305
産業労働部,list00186.html,流通・貿易課,list00060.html,0952-25-7252,0952-25-7307
産業労働部,list00186.html,経営支援課,list00061.html,0952-25-7093,0952-25-7270
産業労働部,list00186.html,関西・中京事務所,list00075.html,06-6344-8031,06-6348-0253
産業労働部,list00186.html,窯業技術センター,list00077.html,0955-43-2185,0955-41-1003
産業労働部,list00186.html,工業技術センター,list00078.html,0952-30-8161,0952-32-6300
産業労働部,list00186.html,産業技術学院,list00079.html,0952-74-4330,0952-71-9033
農林水産部,list00187.html,農政企画課,list00163.html,0952-25-7257,0952-25-7465
農林水産部,list00187.html,生産者支援課,list00068.html,0952-25-7112,0952-25-7271
農林水産部,list00187.html,農業経営課,list00069.html,0952-25-7118,0952-25-7272
農林水産部,list00187.html,園芸農産課,list00070.html,0952-25-7119,0952-25-7308
農林水産部,list00187.html,畜産課,list00071.html,0952-25-7121,0952-25-7309
農林水産部,list00187.html,農山村課,list00111.html,0952-25-7124,0952-25-7284
農林水産部,list00187.html,農地整備課,list00112.html,0952-25-7126,0952-25-7311
農林水産部,list00187.html,林業課,list00073.html,0952-25-7130,0952-25-7283
農林水産部,list00187.html,森林整備課,list00115.html,0952-25-7134,0952-25-7312
農林水産部,list00187.html,水産課,list00072.html,0952-25-7144,0952-25-7274
農林水産部,list00187.html,佐賀中部農林事務所,list00100.html,0952-31-3281,0952-33-4579
農林水産部,list00187.html,東部農林事務所,list00101.html,0952-55-9760,0952-53-0335
農林水産部,list00187.html,唐津農林事務所,list00102.html,0955-73-1661,0955-75-0578
農林水産部,list00187.html,伊万里農林事務所,list00103.html,0955-23-5171,0955-23-0057
農林水産部,list00187.html,杵藤農林事務所,list00104.html,0954-63-5111,0954-62-5159
農林水産部,list00187.html,農業技術防除センター,list00080.html,0952-45-5297,0952-45-5085
農林水産部,list00187.html,上場営農センター,list00087.html,0955-82-1930,0955-51-1023
農林水産部,list00187.html,農業試験研究センター,list00088.html,0952-45-2141,0952-45-8801
農林水産部,list00187.html,農業大学校,list00089.html,0952-45-2144,0952-34-7004
農林水産部,list00187.html,果樹試験場,list00090.html,0952-73-2275,0952-71-1020
農林水産部,list00187.html,茶業試験場,list00091.html,0954-42-0066,0954-20-2004
農林水産部,list00187.html,畜産試験場,list00092.html,0954-45-2030,0954-20-7000
農林水産部,list00187.html,中部家畜保健衛生所,list00093.html,0952-31-2211,0952-34-1046
農林水産部,list00187.html,北部家畜保健衛生所,list00094.html,0955-82-3841,0955-51-1024
農林水産部,list00187.html,西部家畜保健衛生所,list00095.html,0954-22-3185,0954-20-1013
農林水産部,list00187.html,玄海水産振興センター,list00096.html,0955-74-3021,0955-74-6791
農林水産部,list00187.html,有明水産振興センター,list00097.html,0952-66-2000,0952-66-4443
農林水産部,list00187.html,高等水産講習所,list00098.html,0955-72-2565,0955-72-2595
農林水産部,list00187.html,林業試験場,list00099.html,0952-62-0054,0952-51-2013
県土整備部,list00188.html,県土企画課,list00105.html,0952-25-7538,0952-25-7275
県土整備部,list00188.html,建設・技術課,list00106.html,0952-25-7153,0952-25-7317
県土整備部,list00188.html,入札・検査センター,list00107.html,0952-25-7470,0952-25-7479
県土整備部,list00188.html,道路課,list00118.html,0952-25-7155,0952-25-7276
県土整備部,list00188.html,土地利活用課,list00108.html,0952-25-7034,0952-25-7103
県土整備部,list00188.html,まちづくり課,list00109.html,0952-25-7158,0952-25-7314
県土整備部,list00188.html,下水道課,list00110.html,0952-25-7185,0952-25-7275
県土整備部,list00188.html,建築住宅課,list00113.html,0952-25-7164,0952-25-7316
県土整備部,list00188.html,河川砂防課,list00114.html,0952-25-7161,0952-25-7277
県土整備部,list00188.html,佐賀土木事務所,list00120.html,0952-24-4345,0952-22-6589
県土整備部,list00188.html,東部土木事務所,list00121.html,0942-83-4176,0942-84-0969
県土整備部,list00188.html,唐津土木事務所,list00122.html,0955-73-2861,0955-75-0457
県土整備部,list00188.html,伊万里土木事務所,list00123.html,0955-23-4151,0955-22-3449
県土整備部,list00188.html,杵藤土木事務所,list00124.html,0954-22-4184,0954-23-9763
県土整備部,list00188.html,ダム管理事務所,list00125.html,0954-23-7327,0954-22-2776
県土整備部,list00188.html,有明海沿岸道路整備事務所,list00127.html,0952-66-0912,0952-66-0956
出納局,list00189.html,会計課,list00143.html,0952-25-7191,0952-25-7157
出納局,list00189.html,総務事務センター,list00144.html,0952-25-7194,0952-25-7280
教育委員会事務局,list00190.html,全国高校総体2024推進チーム,list05930.html,0952-25-7524,
教育委員会事務局,list00190.html,教育DX推進グループ,list05931.html,0952-25-7363,
教育委員会事務局,list00190.html,教育総務課,list00152.html,0952-25-7398,0952-25-7281
教育委員会事務局,list00190.html,教育振興課,list00156.html,0952-25-7476,0952-25-7409
教育委員会事務局,list00190.html,教職員課,list00155.html,0952-25-7225,0952-25-7319
教育委員会事務局,list00190.html,学校教育課,list00158.html,0952-25-7227,0952-25-7286
教育委員会事務局,list00190.html,保健体育課,list00164.html,0952-25-7235,0952-25-7477
佐賀県議会事務局,list00146.html,,,,
佐賀県選挙管理委員会事務局,list00147.html,,,,
佐賀県監査委員事務局,list00148.html,,,,
佐賀県人事委員会事務局,list00149.html,,,,
佐賀県労働委員会事務局,list00150.html,,,,
佐賀県海区漁業調整委員会事務局,list00151.html,,,,
東部工業用水道局,list00192.html,東部工業用水道管理事務所,list00145.html,0942-83-3825,0942-83-7888
現地機関,list03210.html,東部教育事務所,list03211.html,0952-30-7218,0952-33-4629
現地機関,list03210.html,西部教育事務所北部支所,list03212.html,0955-73-1331,0955-75-0247
現地機関,list03210.html,西部教育事務所,list03213.html,0954-23-3125,0954-23-9751
現地機関,list03210.html,教育センター,list03214.html,0952-62-5211,0952-62-6404
県立学校,list03215.html,佐賀西高等学校,list03216.html,0952-24-4331,0952-25-7041
県立学校,list03215.html,佐賀東高等学校,list03217.html,0952-24-0141,0952-25-7040
県立学校,list03215.html,佐賀北高等学校,list03218.html,0952-26-3211,0952-25-7042
県立学校,list03215.html,唐津東高等学校,list03219.html,0955-77-1984,0955-77-6471
県立学校,list03215.html,唐津西高等学校,list03220.html,0955-72-7184,0955-70-1022
県立学校,list03215.html,伊万里高等学校,list03221.html,0955-23-3101,0955-20-1001
県立学校,list03215.html,小城高等学校,list03222.html,0952-73-2295,0952-71-1018
県立学校,list03215.html,牛津高等学校,list03223.html,0952-66-1811,0952-51-5008
県立学校,list03215.html,武雄高等学校,list03224.html,0954-22-3103,0954-20-1010
県立学校,list03215.html,鹿島高等学校赤門学舎,list03225.html,0954-62-4136,0954-63-9006
県立学校,list03215.html,鳥栖高等学校,list03226.html,0942-83-2211,0942-81-1018
県立学校,list03215.html,三養基高等学校,list03227.html,0942-94-2345,0942-81-8001
県立学校,list03215.html,神埼高等学校,list03228.html,0952-52-3118,0952-51-1016
県立学校,list03215.html,白石高等学校普通科キャンパス,list03229.html,0952-84-2131,0952-71-5008
県立学校,list03215.html,厳木高等学校,list03230.html,0955-63-2535,0955-51-5021
県立学校,list03215.html,太良高等学校,list03231.html,0954-67-1811,0954-67-9001
県立学校,list03215.html,致遠館高等学校,list03232.html,0952-33-0401,0952-34-1041
県立学校,list03215.html,唐津青翔高等学校,list03233.html,0955-52-2347,0955-51-3021
県立学校,list03215.html,高志館高等学校,list03234.html,0952-62-1331,0952-51-2008
県立学校,list03215.html,神埼清明高等学校,list03235.html,0952-52-3191,0952-51-1017
県立学校,list03215.html,伊万里実業高等学校農林キャンパス,list03236.html,0955-23-4138,0955-20-1002
県立学校,list03215.html,佐賀農業高等学校,list03237.html,0952-84-2611,0952-71-5009
県立学校,list03215.html,唐津南高等学校,list03238.html,0955-72-4123,0955-70-1023
県立学校,list03215.html,佐賀工業高等学校,list03239.html,0952-24-4356,0952-25-7043
県立学校,list03215.html,鳥栖工業高等学校,list03240.html,0942-83-4134,0942-81-1019
県立学校,list03215.html,多久高等学校,list03241.html,0952-75-3191,0952-71-9001
県立学校,list03215.html,有田工業高等学校,list03242.html,0955-42-3136,0955-41-1002
県立学校,list03215.html,唐津工業高等学校,list03243.html,0955-78-1155,0955-70-3021
県立学校,list03215.html,嬉野高等学校塩田校舎,list03244.html,0954-66-2044,0954-66-9000
県立学校,list03215.html,佐賀商業高等学校,list03245.html,0952-30-8571,0952-34-1042
県立学校,list03215.html,伊万里実業高等学校商業キャンパス,list03246.html,0955-23-5191,0955-20-1004
県立学校,list03215.html,嬉野高等学校嬉野校舎,list03247.html,0954-43-0107,0954-20-2001
県立学校,list03215.html,白石高等学校商業科キャンパス,list03248.html,0952-82-3241,0952-71-3008
県立学校,list03215.html,唐津商業高等学校,list03249.html,0955-72-7196,0955-70-1024
県立学校,list03215.html,鹿島高等学校大手門学舎,list03250.html,0954-63-3126,0954-63-9007
県立学校,list03215.html,鳥栖商業高等学校,list03251.html,0942-83-2153,0942-81-1020
県立学校,list03215.html,盲学校,list03252.html,0952-23-4672,0952-25-7044
県立学校,list03215.html,ろう学校,list03253.html,0952-30-5368,0952-34-1043
県立学校,list03215.html,金立特別支援学校,list03254.html,0952-98-1135,0952-71-8001
県立学校,list03215.html,大和特別支援学校,list03255.html,0952-62-1221,0952-51-2009
県立学校,list03215.html,中原特別支援学校,list03256.html,0942-94-3575,0942-81-8002
県立学校,list03215.html,伊万里特別支援学校,list03257.html,0955-23-8554,0955-20-1005
県立学校,list03215.html,唐津特別支援学校,list03258.html,0955-78-2394,0955-70-3350
県立学校,list03215.html,致遠館中学校,list03259.html,0952-33-0401,0952-34-1041
県立学校,list03215.html,唐津東中学校,list03260.html,0955-77-1984,0955-77-6471
県立学校,list03215.html,うれしの特別支援学校,list03261.html,0954-66-4911,0954-66-4936
県立学校,list03215.html,香楠中学校,list03262.html,0942-83-2211,0942-81-1018
県立学校,list03215.html,武雄青陵中学校,list03263.html,0954-22-3177,0954-20-1011
